houseName,houseScale,houseArea,houseLayers,houseDirect,community,detailAddress,price
凤台 西城公馆 4室2厅,4室2厅,180㎡,高层（共27层）,南北向,西城公馆,青年路,4722元/㎡
凤台 凤台县新湖社区东区 3室2厅,3室2厅,140㎡,高层（共18层）,南向,凤台县新湖社区东区,新体育场,4642元/㎡
大通 北京城房 3室2厅,3室2厅,101㎡,低层（共27层）,南向,北京城房,大通,4554元/㎡
田家庵 金地·中央美域 4室2厅,4室2厅,126.5㎡,低层（共32层）,南北向,金地·中央美域,其他-山南新区和风大街与杜鹃路交汇处,7114元/㎡
田家庵 六里站橡胶厂 2室1厅,2室1厅,58㎡,中层（共5层）,南向,六里站橡胶厂,国庆中路,2620元/㎡
田家庵 电厂路钟郢小区 2室1厅,2室1厅,64.47㎡,高层（共5层）,南向,电厂路钟郢小区,其他,1830元/㎡
恒大未来城 2室1厅,2室1厅,80㎡,低层（共24层）,南向,恒大未来城,,5625元/㎡
寿县 空港恒大时代新城 3室2厅,3室2厅,125㎡,中层（共23层）,东西向,空港恒大时代新城,寿县新一中,5600元/㎡
田家庵 城建小区 2室1厅,2室1厅,55㎡,高层（共5层）,南向,城建小区,龙湖,3636元/㎡
潘集 滨河新城 2室1厅,2室1厅,90㎡,低层（共27层）,南向,滨河新城,潘集,2222元/㎡
田家庵 金地·中央美域 3室2厅,3室2厅,98㎡,中层（共6层）,南向,金地·中央美域,其他-山南新区和风大街与杜鹃路交汇处,8571元/㎡
田家庵 金大地国际城二期 3室1厅,3室1厅,90.1㎡,中层（共35层）,南向,金大地国际城二期,其他,7214元/㎡
田家庵 双子星座 2室2厅,2室2厅,106㎡,中层（共30层）,南北向,双子星座,龙湖,5849元/㎡
田家庵 海沃世贸商城 3室2厅,3室2厅,100.85㎡,高层（共29层）,南向,海沃世贸商城,火车站-龙湖南路与舜耕路交汇处,6921元/㎡
山南新区 联华泉山湖 2室2厅,2室2厅,85㎡,中层（共7层）,南北向,联华泉山湖,山南新区-淮南大道(原206国道)泉山湖水库,8470元/㎡
谢家集 卧龙山庄 2室1厅,2室1厅,80㎡,中层（共6层）,南向,卧龙山庄,谢家集-卧龙山庄,3250元/㎡
田家庵 金大地龙湖中心 3室2厅,3室2厅,100㎡,高层（共33层）,南向,金大地龙湖中心,龙湖路-金大地龙湖中心,8800元/㎡
凤台 西城公馆 4室2厅,4室2厅,180㎡,高层（共27层）,南北向,西城公馆,凤城大道,4722元/㎡
山南新区 晟地绿园 3室2厅,3室2厅,119㎡,低层（共6层）,南向,晟地绿园,山南新区-晟地绿园,6638元/㎡
大通 安徽淮南市田家庵区阳光国际城 3室2厅,3室2厅,104㎡,高层（共11层）,南向,安徽淮南市田家庵区阳,大通,11538元/㎡
窑口 4室1厅,4室1厅,100㎡,高层（共2层）,西向,窑口,,4600元/㎡
寿县 千树湾 4室2厅,4室2厅,110㎡,高层（共34层）,南向,千树湾,寿县新一中,6181元/㎡
田家庵 山南国宾府 3室2厅,3室2厅,147㎡,中层（共17层）,南向,山南国宾府,龙湖,8843元/㎡
田家庵 化建村 2室1厅,2室1厅,68.9㎡,高层（共7层）,南向,化建村,泉山,2322元/㎡
大通 万茂华府 3室2厅,3室2厅,116㎡,低层（共34层）,南北向,万茂华府,其他,7241元/㎡
田家庵 金大地龙湖中心 2室1厅,2室1厅,71.5㎡,高层（共27层）,南北向,金大地龙湖中心,龙湖路-金大地龙湖中心,5594元/㎡
田家庵 金大地龙湖中心 2室1厅,2室1厅,71.5㎡,高层（共27层）,南北向,金大地龙湖中心,龙湖路-金大地龙湖中心,5314元/㎡
田家庵 金地中央美域公寓 1室1厅,1室1厅,41.7㎡,高层（共7层）,南向,金地中央美域公寓,其他,6714元/㎡
田家庵 恒大御府 3室2厅,3室2厅,131.44㎡,低层（共33层）,南向,恒大御府,洞山,7912元/㎡
经济开发区 保来国际城 2室2厅,2室2厅,79.36㎡,高层（共21层）,南北向,保来国际城,经济开发区,6199元/㎡
大通 碧荷亭 2室1厅,2室1厅,88㎡,中层（共16层）,南北向,碧荷亭,大通,8522元/㎡
田家庵 恒大御府 3室2厅,3室2厅,131㎡,中层（共33层）,南向,恒大御府,洞山,7786元/㎡
田家庵 恒大御府 3室2厅,3室2厅,115㎡,中层（共33层）,南向,恒大御府,洞山,7913元/㎡
