houseName,houseScale,houseArea,houseLayers,houseDirect,community,detailAddress,price
开发 银湖·波尔卡国际花园南区 3室2厅,3室2厅,104㎡,高层（共6层）,南向,银湖·波尔卡国际花园,银湖-安徽省芜湖市鸠江区浦江路10附近,8173元/㎡
鸠兹古镇西江月 徽派别墅 风景秀丽 一手新房 销售市场部专享,独栋,卧室：4个,无花园,130㎡,鸠兹古镇西江月,政务文化中心-鸠兹古镇西江月安徽省芜湖市鸠江区万春中路,15384元/㎡
"城毛坯3房无税随便你装,全明户型 有钥匙随时看房",3室1厅,88㎡,中层（共17层）,南北向,中央城,大学城-中央城高校园区,12727元/㎡
"一线江景,长江之歌天誉精装三房好楼层,送车位装修!",3室2厅,138㎡,中层（共40层）,南北向,伟星长江之歌,银泰城-伟星长江之歌长江南路99号,17391元/㎡
南翔铭座首付16万随心所寓一层变二层单价5800专车接送,1室1厅,43㎡,中层（共19层）,南向,南翔铭座,北门-南翔铭座中江路与万春路交界,5813元/㎡
"58平米两房!手户型,轻轨一号线,师大9年制",2室1厅,58㎡,中层（共31层）,南北向,上林春天里,大学城-上林春天里九华南路与纬七路交汇处,9137元/㎡
雅旭新乐府 精品小三房一手房源采光好 无中介费享团购价,3室2厅,100㎡,中层（共22层）,南北向,雅旭新乐府,南瑞-雅旭新乐府,12700元/㎡
金浩仁和天地无税精装2房前后双阳台加房间飘窗全送房东急售,2室2厅,88㎡,低层（共21层）,南北向,金浩仁和天地,政务文化中心-金浩仁和天地仁和路与河清路交汇处东南侧,13977元/㎡
信德悦城新楼盘品质社区城东轻轨旁车接车送,3室2厅,115㎡,中层（共30层）,南北向,信德悦城,鸠江-赤铸山路,8086元/㎡
城南新盘新城大都会+高层+洋房+97平-127平+免中介费,3室2厅,97㎡,中层（共18层）,南北向,新城大都会,国际会展中心-新城大都会仓津路与大工山路交口向南约500米,12886元/㎡
"碧桂园129全新毛坯房,,全天采光,ZUI,低,速来",3室2厅,129.01㎡,高层（共32层）,南北向,芜湖碧桂园三山水韵,龙窝湖-芜湖碧桂园三山水韵安徽省芜湖市三山区碧桂园,6588元/㎡
祥生府高品质小区匠心品质配套齐全一手新房分销无用,3室2厅,118㎡,中层（共17层）,南北向,祥生府,政务文化中心-祥生府北京中路与中江大道交汇处西南侧50米,11432元/㎡
"市区独栋别墅均价7千多!云溪别墅住家办公两不误,一手现房",独栋,卧室：5个,无花园,336㎡,云谷科技园,弋江-弋江,7500元/㎡
柏庄丽城-精装三房-南北通透-钻石楼层-明厨明卫-首付20万,3室2厅,120.3㎡,低层（共18层）,南北向,柏庄丽城,大学城-柏庄丽城九华南路与纬五路交汇处以东,13715元/㎡
皖新春江明月二期即将开盘新房可直接选房享团购优.惠.价,3室2厅,109㎡,中层（共30层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),10550元/㎡
"柏庄铂寓,市旁3.7米层高公寓,首付14万起",2室1厅,40㎡,高层（共13层）,南向,柏庄观邸,政务文化中心-柏庄观邸,7000元/㎡
一手新房 金山美宿公寓 步行街旁 育红 荟萃二中,1室1厅,45㎡,中层（共15层）,南北向,金山国际公寓,其他-金山国际公寓青山街与公安街交叉口,10888元/㎡
弋江嘉园2房中间楼层无水房东诚心出售拎包入住,2室2厅,78㎡,高层（共6层）,南向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",8717元/㎡
万科城南区户型方正精装全送拎包入住品质万科随时看房,3室2厅,114㎡,中层（共17层）,南向,万科城南区,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,13596元/㎡
弋江嘉园二期 精装2房 南北通透 安师大 轻轨沿线 价格可谈,2室2厅,90.5㎡,中层（共18层）,南向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",9502元/㎡
"浅湾小区,轻轨1号线底站、61万满二毛坯户型好",2室2厅,91㎡,中层（共11层）,南向,浅湾小区,瀂港-浅湾小区安徽省芜湖市弋江区浅湾小区,6703元/㎡
高性价比房源低于市场价五万以上汇成名郡小三房!入手赚,3室2厅,88.04㎡,高层（共5层）,南北向,汇成名郡,大学城-汇成名郡九华南路东侧(国际会展中心对面),14538元/㎡
东城豪庭纯毛坯上中江钻石楼层格家保真值得,3室2厅,137㎡,中层（共17层）,南北向,东城豪庭,政务文化中心-东城豪庭区赤铸山路与海晏路交汇处,12029元/㎡
"伟星公园大道精装边户两房送入户花园,上安师大附外公办幼儿园",2室2厅,92㎡,低层（共21层）,南向,公园大道壹号,政务文化中心-公园大道壹号云从路与神山路交汇处西北角,16304元/㎡
碧桂园镜湖春色刚需神房+开发商装修+价格自己看,3室2厅,96㎡,低层（共32层）,南北向,芜湖碧桂园镜湖春色,龙窝湖-芜湖碧桂园镜湖春色,6562元/㎡
伟星万科起中江+精装交付首付两成+低单价环境好随时接送看房,3室2厅,99㎡,中层（共11层）,南北向,伟星万科潮起中江,政务文化中心-伟星万科潮起中江,13636元/㎡
急售公园大道保源全新全坯一次未住,3室2厅,124㎡,高层（共21层）,南北向,伟星公园大道北峯,政务文化中心-伟星公园大道北峯,16129元/㎡
"沐春园无税,精装两房 居家舒适交通便利 出行方便",2室1厅,60㎡,中层（共6层）,南北向,南瑞新城沐春园,南瑞-南瑞新城沐春园弋江区利民中路201号,9433元/㎡
新房首开拓基弘扬时光里轻轨洋房找我享受优惠,4室2厅,118㎡,低层（共10层）,南北向,拓基弘阳时光里,"鸠江-梦溪路,近纬一次路",8983元/㎡
柏庄春暖花开 D价 南北通透 双阳台 精装修 拎包入住,3室2厅,112.6㎡,高层（共11层）,南北向,柏庄·春暖花开,大学城-柏庄·春暖花开九华南路安徽师范大学南校区对面,13321元/㎡
海顿公馆 诚心出售 实用两居室 精装修,2室2厅,86.35㎡,低层（共33层）,南北向,绿地镜湖世纪城,镜湖世纪城-绿地镜湖世纪城镜湖世纪城,12252元/㎡
高速东方御府专享车接车一手渠道团购,3室2厅,99㎡,中层（共26层）,南北向,高速东方御府,政务文化中心-高速东方御府梦溪路与纬一次路交汇处,8080元/㎡
劲爆消息碧桂园精装两房两房的价格买三房不香吗,3室2厅,96㎡,低层（共32层）,南向,芜湖碧桂园三山水韵,龙窝湖-芜湖碧桂园三山水韵安徽省芜湖市三山区碧桂园,6562元/㎡
时光里水岸洋房轻轨房飞机户型新房团购价格火热递减中,3室2厅,104㎡,高层（共11层）,南北向,拓基弘阳时光里,"鸠江-梦溪路,近纬一次路",9230元/㎡
柏庄春暖花开无税 精装两房 拎包即住 采光 钻石楼层 安师大,2室2厅,75㎡,低层（共11层）,南向,柏庄·春暖花开,大学城-柏庄·春暖花开九华南路安徽师范大学南校区对面,14000元/㎡
雅旭新乐府 各种户型 满足各种客户,3室2厅,128㎡,高层（共18层）,南向,雅旭新乐府,南瑞-雅旭新乐府,12500元/㎡
"鸟语花香,湖景房城市之光拎包入住,有,看中可刀!",2室2厅,89㎡,低层（共16层）,南北向,城市之光第二街区,政务文化中心-城市之光第二街区,13797元/㎡
城 毛坯3房 两房朝南 全明户型 有钥匙随时看房,3室1厅,88㎡,中层（共18层）,南北向,中央城,大学城-中央城高校园区,12840元/㎡
蓝湾半岛三房+南北通透+师大.附.小+轻轨旁交通便利,3室2厅,120㎡,低层（共18层）,南向,蓝湾半岛,大学城-蓝湾半岛芜湖市弋江区文津东路,7500元/㎡
大发融悦东方纯毛坯无税随时看房捡漏的来,3室1厅,101.7㎡,低层（共16层）,南向,大发融悦东方,政务文化中心-大发融悦东方,11799元/㎡
弋江嘉园-精装两房-无税-南北通透-轻轨站旁-中医院-师大,2室2厅,75㎡,高层（共6层）,南北向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",9600元/㎡
时光里政务板块花园洋房低公摊首付18万买洋房,3室2厅,99㎡,中层（共11层）,南北向,拓基弘阳时光里,"鸠江-梦溪路,近纬一次路",8585元/㎡
伟星万科起中江 两大开发商通力合作 立志要做芜湖标杆,3室2厅,119㎡,中层（共17层）,南北向,万科城,政务文化中心-万科城区赤铸山路与中江大道交汇处西北侧,13025元/㎡
急售 住宅性质公寓 双 首付10万 的选择,1室1厅,39㎡,高层（共23层）,南向,汇成名郡,大学城-汇成名郡九华南路东侧(国际会展中心对面),11794元/㎡
松韵园精装修好三房+南北通透+拎包入住+环境优美+交通便利,3室2厅,90㎡,高层（共6层）,南北向,松韵园,"南瑞-松韵园弋江区利民东路,元泽桥以南",8555元/㎡
lj时光里118平户型展示找我优先选楼层还有额外优惠,3室2厅,118㎡,高层（共11层）,南北向,拓基弘阳时光里,"鸠江-梦溪路,近纬一次路",8898元/㎡
无税好房!弋江嘉园三房层高6米可以做!一层变二层!,3室2厅,85㎡,高层（共6层）,南向,弋江嘉园,"大学城-弋江嘉园九华南路文昌路,柏庄春暖花开东侧",8200元/㎡
"江南春城满五的小房子,好楼层拎包入住,是不是很?",1室1厅,47㎡,中层（共6层）,南北向,江南春城,"奥林匹克公园-江南春城弋江区南塘湖路,四院附近",10851元/㎡
"弋江区明星楼盘春江明月,100平米改善居住,低单价渠道优惠",3室2厅,96㎡,中层（共16层）,南北向,皖新春江明月,南瑞-皖新春江明月利民东路中段(原新兴铸管厂地块),11041元/㎡
"芜湖美好首玺,大学城环绕,一手新房,全程带看免费,享优惠",3室2厅,114㎡,低层（共28层）,南北向,美好首玺,大学城-美好首玺,12280元/㎡
江南春城 毛坯两室 南北通透 采光好 低价急售,2室2厅,84.62㎡,中层（共7层）,南北向,江南春城,"奥林匹克公园-江南春城弋江区南塘湖路,四院附近",9335元/㎡
伟业臻园毛坯大四居无税新房空中大平层送露台首付30,4室2厅,169㎡,高层（共18层）,南北向,伟业臻园,瀂港-伟业臻园马饮客运站西南侧约50米处,6485元/㎡
伟星公园大道经典两房南北通透毛坯无税安附外双公园,2室2厅,88㎡,低层（共17层）,南北向,伟星公园大道北峯,政务文化中心-伟星公园大道北峯,15909元/㎡
新城大都会 小区电梯洋房 配套齐全 一手市场部专享价,3室2厅,113㎡,中层（共24层）,南北向,新城大都会,国际会展中心-新城大都会仓津路与大工山路交口向南约500米,12477元/㎡
"碧桂园湖景大三房,南北通风,内外龙窝湖一览无余+拎包入住",3室2厅,88㎡,中层（共32层）,南北向,芜湖碧桂园白鹭湾,龙窝湖-芜湖碧桂园白鹭湾,8181元/㎡
美好首玺二期加推 大学城高校云集 一手代理不收任何费用,3室2厅,117㎡,中层（共32层）,南北向,美好首玺,大学城-美好首玺,11965元/㎡
恒大华府中间楼层精装3房2卫无税买到不赚你来剁我手,3室2厅,129㎡,中层（共15层）,南向,恒大华府,政务文化中心-恒大华府区鸠江北路与赤铸山路交汇处东北方向,13875元/㎡
蓝湾半岛二房+南北通透+拎包入住+师大.附.小轻轨旁交通便利,2室2厅,83.98㎡,低层（共18层）,南北向,蓝湾半岛,大学城-蓝湾半岛芜湖市弋江区文津东路,8335元/㎡
婚房装修三房!业主我朋友+看房都方便,3室2厅,116㎡,低层（共32层）,南北向,芜湖碧桂园白鹭湾,龙窝湖-芜湖碧桂园白鹭湾,7931元/㎡
拓基弘阳时光里单价9000南北通透采光棒轻轨口火爆楼盘,3室2厅,108㎡,低层（共11层）,南北向,拓基弘阳时光里,"鸠江-梦溪路,近纬一次路",8518元/㎡
